op,funct3,funct7,type,instruction
0000011,000,-,I,"lb rd,imm(rs1)"
0000011,001,-,I,"lh rd,imm(rs1)"
0000011,010,-,I,"lw rd,imm(rs1)"
0000011,100,-,I,"lbu rd,imm(rs1)"
0000011,101,-,I,"lhu rd,imm(rs1)"
0010011,000,-,I,"addi rd,rs1,imm"
0010011,001,0000000,I,"slli rd,rs1,uimm"
0010011,010,-,I,"slti rd,rs1,imm"
0010011,011,-,I,"sltiu rd,rs1,imm"
0010011,100,-,I,"xori rd,rs1,imm"
0010011,101,0000000,I,"srli rd,rs1,uimm"
0010011,101,0100000,I,"srai rd,rs1,uimm"
0010011,110,-,I,"ori rd,rs1,imm"
0010011,111,-,I,"andi rd,rs1,imm"
0010111,-,-,U,"auipc rd,upimm"
0100011,000,-,S,"sb rs2,imm(rs1)"
0100011,001,-,S,"sh rs2,imm(rs1)"
0100011,010,-,S,"sw rs2,imm(rs1)"
0110011,000,0000000,R,"add rd,rs1,rs2"
0110011,000,0100000,R,"sub rd,rs1,rs2"
0110011,001,0000000,R,"sll rd,rs1,rs2"
0110011,010,0000000,R,"slt rd,rs1,rs2"
0110011,011,0000000,R,"sltu rd,rs1,rs2"
0110011,100,0000000,R,"xor rd,rs1,rs2"
0110011,101,0000000,R,"srl rd,rs1,rs2"
0110011,101,0100000,R,"sra rd,rs1,rs2"
0110011,110,0000000,R,"or rd,rs1,rs2"
0110011,111,0000000,R,"and rd,rs1,rs2"
0110111,-,-,U,"lui rd,upimm"
1100011,000,-,B,"beq rs1,rs2,label"
1100011,001,-,B,"bne rs1,rs2,label"
1100011,100,-,B,"blt rs1,rs2,label"
1100011,101,-,B,"bge rs1,rs2,label"
1100011,110,-,B,"bltu rs1,rs2,label"
1100011,111,-,B,"bgeu rs1,rs2,label"
1100111,000,-,I,"jalr rd,rs1,imm"
1101111,-,-,J,"jal rd,label"
